spine	classification	golden_pages	golden_fragments	golden_first	golden_last	golden_sha	historical_pages	historical_fragments	historical_first	historical_last	historical_sha	current_pages	current_fragments	current_first	current_last	current_sha
432	HISTORICAL_AND_CURRENT_SOURCE	6	207	16.00,247.92,153.00,30.60|270.91|fda10055	108.70,65.05,72.43,17.68|79.35|d6ff627f	e27aefe21d450ac6	6	207	16.00,247.92,153.00,30.60|270.91|fda10055	108.70,65.05,72.43,17.68|79.35|d6ff627f	651ca77adb4b6a51	6	215	16.00,247.92,153.00,30.60|270.91|fda10055	108.70,702.20,72.43,23.80|719.55|d6ff627f	d0298c87dc61b0f9
433	HISTORICAL_AND_CURRENT_SOURCE	13	523	16.00,247.92,91.80,30.60|270.91|8b5573a3	34.00,65.05,153.18,17.68|79.35|2cff885c	454469d052e971da	13	523	16.00,247.92,91.80,30.60|270.91|8b5573a3	34.00,65.05,153.18,17.68|79.35|2cff885c	dae29bd05d6f3c60	14	533	16.00,247.92,91.80,30.60|270.91|8b5573a3	34.00,392.80,153.18,23.80|410.15|2cff885c	336315282bb77eaa
434	HISTORICAL_AND_CURRENT_SOURCE	21	750	16.00,247.92,91.80,30.60|270.91|496dfa25	34.00,100.42,201.63,17.68|114.71|92b53109	fc0847c2f8690732	21	748	16.00,247.92,91.80,30.60|270.91|496dfa25	34.00,100.42,201.63,17.68|114.71|92b53109	6b0af987e6ea5f1d	23	776	16.00,247.92,91.80,30.60|270.91|496dfa25	34.00,391.00,201.63,23.80|408.35|92b53109	fef8bba344b0a0ce
435	HISTORICAL_AND_CURRENT_SOURCE	14	549	16.00,247.92,137.70,30.60|270.91|e05f5f51	34.00,545.86,104.73,17.68|560.15|bb88652c	b98df9ee7e14c253	14	549	16.00,247.92,137.70,30.60|270.91|e05f5f51	34.00,545.86,104.73,17.68|560.15|bb88652c	97484288f8761972	16	559	16.00,247.92,137.70,30.60|270.91|e05f5f51	34.00,321.40,104.73,23.80|338.75|bb88652c	d9dbafe2dadc3e16
436	HISTORICAL_AND_CURRENT_SOURCE	2	55	16.00,247.92,30.60,30.60|270.91|4c79dee3	34.00,519.54,295.77,17.68|533.83|f40ab508	feba83392b1ea462	2	55	16.00,247.92,30.60,30.60|270.91|4c79dee3	34.00,519.54,295.77,17.68|533.83|f40ab508	9d3f452b8fd3a8af	2	57	16.00,247.92,30.60,30.60|270.91|4c79dee3	34.00,666.40,295.77,23.80|683.75|f40ab508	7f4577cea67dc502
437	UNCHANGED	1	8	99.84,158.40,17.00,20.40|174.53|af50a0fe	32.30,265.13,25.50,28.49|288.14|c7cce240	6be76691dca9610f	1	8	99.84,158.40,17.00,20.40|174.53|af50a0fe	32.30,265.13,25.50,28.49|288.14|c7cce240	6be76691dca9610f	1	8	99.84,158.40,17.00,20.40|174.53|af50a0fe	32.30,265.13,25.50,28.49|288.14|c7cce240	6be76691dca9610f
438	UNCHANGED	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f
439	CURRENT_SOURCE_ONLY	1	10	152.81,29.85,17.69,23.21|47.80|39071237	175.44,639.13,39.12,19.12|654.14|260fbd8e	6542efb75f9af75a	1	10	152.81,29.85,17.69,23.21|47.80|39071237	175.44,639.13,39.12,19.12|654.14|260fbd8e	6542efb75f9af75a	1	10	151.82,29.85,18.19,24.99|48.77|39071237	176.68,640.92,36.65,21.42|657.14|260fbd8e	894b4cb92b2ab5dd
440	HISTORICAL_AND_CURRENT_SOURCE	3	102	16.00,247.92,30.60,30.60|270.91|d9dc1d2f	34.00,607.96,56.28,17.68|622.25|7c38286e	d4e1a0672836c235	3	102	16.00,247.92,30.60,30.60|270.91|d9dc1d2f	34.00,607.96,56.28,17.68|622.25|7c38286e	f3b0e19bbb46a8a7	3	103	16.00,247.92,30.60,30.60|270.91|d9dc1d2f	34.00,714.00,56.28,23.80|731.35|7c38286e	61f9436312e50891
441	HISTORICAL_AND_CURRENT_SOURCE	22	902	16.00,247.92,76.50,30.60|270.91|944d1670	108.70,665.06,112.57,17.68|679.35|ad6ad658	6a43a20e3392112b	22	902	16.00,247.92,76.50,30.60|270.91|944d1670	108.70,665.06,112.57,17.68|679.35|ad6ad658	f1fd29ef899156c3	25	914	16.00,247.92,76.50,30.60|270.91|944d1670	108.70,226.20,112.57,23.80|243.55|ad6ad658	3f707b46d650ef29
442	HISTORICAL_AND_CURRENT_SOURCE	24	900	16.00,247.92,76.50,30.60|270.91|64367a3d	229.85,383.37,80.43,17.68|397.66|857fe3c7	76daf3eb05f45728	24	900	16.00,247.92,76.50,30.60|270.91|64367a3d	229.85,383.37,80.43,17.68|397.66|857fe3c7	6df72d6828778701	27	920	16.00,247.92,76.50,30.60|270.91|64367a3d	229.85,131.00,80.43,23.80|148.35|857fe3c7	f9fd93551a24a508
443	HISTORICAL_AND_CURRENT_SOURCE	16	640	16.00,247.92,137.70,30.60|270.91|9ab0cde2	34.00,702.35,112.89,17.68|716.64|4bf09d7f	9f50e2412228b800	16	640	16.00,247.92,137.70,30.60|270.91|9ab0cde2	34.00,702.35,112.89,17.68|716.64|4bf09d7f	940c8a2ea1083d55	18	661	16.00,247.92,137.70,30.60|270.91|9ab0cde2	34.00,607.00,112.89,23.80|624.35|4bf09d7f	2bb98b7d8886c461
444	HISTORICAL_AND_CURRENT_SOURCE	26	1052	16.00,247.92,214.20,30.60|270.91|cad42ce8	34.00,277.26,32.14,17.68|291.56|3cb7fd5f	fd71303a4d89de7b	26	1052	16.00,247.92,214.20,30.60|270.91|cad42ce8	34.00,277.26,32.14,17.68|291.56|3cb7fd5f	fe7dfe84c9032abf	29	1080	16.00,247.92,214.20,30.60|270.91|cad42ce8	34.00,369.00,32.14,23.80|386.35|3cb7fd5f	eee3c48d445c0b32
445	HISTORICAL_AND_CURRENT_SOURCE	22	811	16.00,247.92,168.30,30.60|270.91|7a948aa0	64.00,537.97,258.40,17.68|552.26|955d192a	3a7e8d50dca72aac	22	809	16.00,247.92,168.30,30.60|270.91|7a948aa0	64.00,537.97,258.40,17.68|552.26|955d192a	ed0c73ff36ee8e73	24	824	16.00,247.92,168.30,30.60|270.91|7a948aa0	64.00,581.40,258.40,23.80|598.75|955d192a	bf5a21e24cdae196
446	HISTORICAL_AND_CURRENT_SOURCE	2	58	16.00,247.92,30.60,30.60|270.91|4c79dee3	34.00,585.86,120.88,17.68|600.15|1340f1a3	c67d786bacd667ed	2	58	16.00,247.92,30.60,30.60|270.91|4c79dee3	34.00,585.86,120.88,17.68|600.15|1340f1a3	58724adf0b16a67d	2	59	16.00,247.92,30.60,30.60|270.91|4c79dee3	34.00,758.20,120.88,23.80|775.55|1340f1a3	23cc0514ab73eb62
447	UNCHANGED	1	9	99.84,158.40,17.00,20.40|174.53|af50a0fe	32.30,293.61,25.50,28.49|316.62|c7cce240	f796ef9b1804547e	1	9	99.84,158.40,17.00,20.40|174.53|af50a0fe	32.30,293.61,25.50,28.49|316.62|c7cce240	f796ef9b1804547e	1	9	99.84,158.40,17.00,20.40|174.53|af50a0fe	32.30,293.61,25.50,28.49|316.62|c7cce240	f796ef9b1804547e
448	UNCHANGED	2	30	15.66,232.90,357.00,22.10|249.33|c8dce879	15.66,78.30,238.00,22.10|94.73|a6627293	c65116e3991db83d	2	30	15.66,232.90,357.00,22.10|249.33|c8dce879	15.66,78.30,238.00,22.10|94.73|a6627293	c65116e3991db83d	2	30	15.66,232.90,357.00,22.10|249.33|c8dce879	15.66,78.30,238.00,22.10|94.73|a6627293	c65116e3991db83d
449	HISTORICAL_AND_CURRENT_SOURCE	4	139	16.00,247.92,137.70,30.60|270.91|99a29b4b	228.70,758.28,64.44,17.68|772.58|89e41723	1400e9417747acf5	4	138	16.00,247.92,137.70,30.60|270.91|99a29b4b	228.70,758.28,64.44,17.68|772.58|89e41723	4a19856d672376a7	5	143	16.00,247.92,137.70,30.60|270.91|99a29b4b	228.70,321.40,64.44,23.80|338.75|89e41723	07194edb2c296f03
